album_name,artist_name,track_name,platform,Track Played Date,No of Albums,No of Artists,No of Tracks,Milliseconds Played,Avg Listening Time (min)
"""Awaken, My Love!""",Childish Gambino,Redbone,android,2021-10-17 00:00:00,1,1,1,653866,5.448883333333334
"""Awaken, My Love!""",Childish Gambino,Redbone,android,2021-12-16 00:00:00,1,1,1,326933,5.448883333333334
"""Awaken, My Love!""",Childish Gambino,Redbone,android,2022-01-01 00:00:00,1,1,1,1576,0.026266666666666667
"""Awaken, My Love!""",Childish Gambino,Redbone,android,2022-02-03 00:00:00,1,1,1,326933,5.448883333333334
"""Awaken, My Love!""",Childish Gambino,Redbone,android,2022-02-09 00:00:00,1,1,1,326933,5.448883333333334
"""Awaken, My Love!""",Childish Gambino,Redbone,android,2022-03-25 00:00:00,1,1,1,33115,0.5519166666666667
"""Awaken, My Love!""",Childish Gambino,Redbone,android,2023-02-05 00:00:00,1,1,1,326933,5.448883333333334
"""Awaken, My Love!""",Childish Gambino,Redbone,android,2023-08-05 00:00:00,1,1,1,227620,3.7936666666666667
"""Awaken, My Love!""",Childish Gambino,Redbone,android,2023-08-06 00:00:00,1,1,1,99737,1.6622833333333333
"""Awaken, My Love!""",Childish Gambino,Redbone,android,2023-11-05 00:00:00,1,1,1,1557,0.02595
"""Awaken, My Love!""",Childish Gambino,Redbone,android,2024-04-13 00:00:00,1,1,1,326933,5.448883333333334
"""Feel Flows"" The Sunflower & Surf’s Up Sessions 1969-1971",The Beach Boys,Big Sur,android,2021-10-05 00:00:00,1,1,1,155480,2.5913333333333335
"""Heroes""",David Bowie,Heroes - 2017 Remaster,android,2018-06-15 00:00:00,1,1,1,371413,6.190216666666666
"""Heroes""",David Bowie,Heroes - 2017 Remaster,android,2018-06-21 00:00:00,1,1,1,4266,0.0711
"""Heroes""",David Bowie,Heroes - 2017 Remaster,android,2018-07-18 00:00:00,1,1,1,371413,6.190216666666666
"""Heroes""",David Bowie,Heroes - 2017 Remaster,android,2018-07-23 00:00:00,1,1,1,371413,6.190216666666666
"""Heroes""",David Bowie,Heroes - 2017 Remaster,android,2018-12-26 00:00:00,1,1,1,2618,0.043633333333333336
"""Heroes""",David Bowie,Heroes - 2017 Remaster,android,2019-04-09 00:00:00,1,1,1,2231,0.03718333333333333
"""Heroes""",David Bowie,Heroes - 2017 Remaster,android,2019-08-26 00:00:00,1,1,1,371413,6.190216666666666
"""Heroes""",David Bowie,Heroes - 2017 Remaster,android,2019-11-09 00:00:00,1,1,1,371413,6.190216666666666
"""Heroes""",David Bowie,Heroes - 2017 Remaster,android,2019-11-24 00:00:00,1,1,1,1115,0.018583333333333334
"""Heroes""",David Bowie,Heroes - 2017 Remaster,android,2019-12-10 00:00:00,1,1,1,371413,6.190216666666666
"""Heroes""",David Bowie,Heroes - 2017 Remaster,android,2020-01-08 00:00:00,1,1,1,371413,6.190216666666666
"""Heroes""",David Bowie,Heroes - 2017 Remaster,android,2020-02-15 00:00:00,1,1,1,371413,6.190216666666666
"""Heroes""",David Bowie,Heroes - 2017 Remaster,android,2020-03-21 00:00:00,1,1,1,371413,6.190216666666666
"""Heroes""",David Bowie,Heroes - 2017 Remaster,android,2020-10-15 00:00:00,1,1,1,578,0.009633333333333334
"""Heroes""",David Bowie,Heroes - 2017 Remaster,android,2020-11-01 00:00:00,1,1,1,371413,6.190216666666666
"""Heroes""",David Bowie,Heroes - 2017 Remaster,android,2020-12-04 00:00:00,1,1,1,710,0.011833333333333333
"""Heroes""",David Bowie,Heroes - 2017 Remaster,android,2021-01-10 00:00:00,1,1,1,371413,6.190216666666666
"""Heroes""",David Bowie,Heroes - 2017 Remaster,android,2021-01-17 00:00:00,1,1,1,371413,6.190216666666666
"""Heroes""",David Bowie,Heroes - 2017 Remaster,android,2021-02-20 00:00:00,1,1,1,1039,0.017316666666666668
"""Heroes""",David Bowie,Heroes - 2017 Remaster,android,2021-04-21 00:00:00,1,1,1,371413,6.190216666666666
"""Heroes""",David Bowie,Heroes - 2017 Remaster,android,2021-04-30 00:00:00,1,1,1,695,0.011583333333333333
"""Heroes""",David Bowie,Heroes - 2017 Remaster,android,2021-05-03 00:00:00,1,1,1,954,0.0159
"""Heroes""",David Bowie,Heroes - 2017 Remaster,android,2021-05-09 00:00:00,1,1,1,18157,0.30261666666666664
"""Heroes""",David Bowie,Heroes - 2017 Remaster,android,2021-05-19 00:00:00,1,1,1,938,0.015633333333333332
"""Heroes""",David Bowie,Heroes - 2017 Remaster,android,2021-05-26 00:00:00,1,1,1,371413,6.190216666666666
"""Heroes""",David Bowie,Heroes - 2017 Remaster,android,2021-06-21 00:00:00,1,1,1,371413,6.190216666666666
"""Heroes""",David Bowie,Heroes - 2017 Remaster,android,2021-08-21 00:00:00,1,1,1,371413,6.190216666666666
"""Heroes""",David Bowie,Heroes - 2017 Remaster,android,2021-10-25 00:00:00,1,1,1,23,0.00038333333333333334
"""Heroes""",David Bowie,Heroes - 2017 Remaster,android,2022-06-05 00:00:00,1,1,1,963,0.01605
"""Heroes""",David Bowie,Heroes - 2017 Remaster,android,2022-07-06 00:00:00,1,1,1,371413,6.190216666666666
"""Heroes""",David Bowie,Heroes - 2017 Remaster,android,2022-09-30 00:00:00,1,1,1,840,0.014
"""Heroes""",David Bowie,Heroes - 2017 Remaster,android,2023-01-01 00:00:00,1,1,1,371413,6.190216666666666
"""Heroes""",David Bowie,Heroes - 2017 Remaster,android,2023-06-29 00:00:00,1,1,1,371413,6.190216666666666
"""Heroes""",David Bowie,Heroes - 2017 Remaster,android,2023-07-04 00:00:00,1,1,1,371413,6.190216666666666
"""Heroes""",David Bowie,Heroes - 2017 Remaster,android,2024-03-04 00:00:00,1,1,1,371413,6.190216666666666
"""Heroes""",David Bowie,Heroes - 2017 Remaster,cast to device,2020-04-14 00:00:00,1,1,1,371437,6.190616666666667
"""Hit the Quan"" #HTQ",iLoveMemphis,"""Hit the Quan"" #HTQ",android,2015-08-28 00:00:00,1,1,1,189464,1.5788666666666666
"""Hit the Quan"" #HTQ",iLoveMemphis,"""Hit the Quan"" #HTQ",android,2015-08-29 00:00:00,1,1,1,26052,0.4342
"""Let's Rock""",The Black Keys,Breaking Down,android,2019-06-28 00:00:00,1,1,1,205033,3.4172166666666666
"""Let's Rock""",The Black Keys,Breaking Down,android,2019-08-14 00:00:00,1,1,1,205033,3.4172166666666666
"""Let's Rock""",The Black Keys,Eagle Birds,android,2019-06-28 00:00:00,1,1,1,160543,2.6757166666666667
"""Let's Rock""",The Black Keys,Eagle Birds,android,2019-08-14 00:00:00,1,1,1,481629,2.6757166666666667
"""Let's Rock""",The Black Keys,Eagle Birds,android,2021-01-13 00:00:00,1,1,1,160543,2.6757166666666667
"""Let's Rock""",The Black Keys,Every Little Thing,android,2019-06-28 00:00:00,1,1,1,199783,3.3297166666666667
"""Let's Rock""",The Black Keys,Every Little Thing,android,2019-08-14 00:00:00,1,1,1,199783,3.3297166666666667
"""Let's Rock""",The Black Keys,Fire Walk With Me,android,2019-06-28 00:00:00,1,1,1,178229,2.970483333333333
"""Let's Rock""",The Black Keys,Fire Walk With Me,android,2019-07-16 00:00:00,1,1,1,102340,1.7056666666666667
"""Let's Rock""",The Black Keys,Fire Walk With Me,android,2019-08-14 00:00:00,1,1,1,184862,1.5405166666666668
"""Let's Rock""",The Black Keys,Get Yourself Together,android,2019-06-28 00:00:00,1,1,1,236937,3.94895
"""Let's Rock""",The Black Keys,Get Yourself Together,android,2019-08-14 00:00:00,1,1,1,236937,3.94895
"""Let's Rock""",The Black Keys,Go,android,2019-06-28 00:00:00,1,1,1,146596,2.4432666666666667
"""Let's Rock""",The Black Keys,Go,android,2019-08-14 00:00:00,1,1,1,146596,2.4432666666666667
"""Let's Rock""",The Black Keys,Lo/Hi,android,2019-06-28 00:00:00,1,1,1,177768,2.9628
"""Let's Rock""",The Black Keys,Lo/Hi,android,2019-08-14 00:00:00,1,1,1,404499,2.2472166666666666
"""Let's Rock""",The Black Keys,Lo/Hi,android,2021-01-13 00:00:00,1,1,1,177768,2.9628
"""Let's Rock""",The Black Keys,Shine A Little Light,android,2019-06-28 00:00:00,1,1,1,196767,3.27945
"""Let's Rock""",The Black Keys,Shine A Little Light,android,2019-08-14 00:00:00,1,1,1,590301,3.27945
"""Let's Rock""",The Black Keys,Shine A Little Light,android,2021-01-13 00:00:00,1,1,1,196767,3.27945
"""Let's Rock""",The Black Keys,Sit Around And Miss You,android,2019-06-28 00:00:00,1,1,1,160497,2.67495
"""Let's Rock""",The Black Keys,Sit Around And Miss You,android,2019-08-14 00:00:00,1,1,1,963002,2.675005555555556
"""Let's Rock""",The Black Keys,Sit Around And Miss You,android,2019-08-16 00:00:00,1,1,1,160501,2.6750166666666666
"""Let's Rock""",The Black Keys,Sit Around And Miss You,android,2019-08-17 00:00:00,1,1,1,181285,3.0214166666666666
"""Let's Rock""",The Black Keys,Sit Around And Miss You,android,2019-08-19 00:00:00,1,1,1,160501,2.6750166666666666
"""Let's Rock""",The Black Keys,Sit Around And Miss You,android,2019-08-28 00:00:00,1,1,1,191364,0.79735
"""Let's Rock""",The Black Keys,Sit Around And Miss You,android,2019-09-21 00:00:00,1,1,1,160501,2.6750166666666666
"""Let's Rock""",The Black Keys,Sit Around And Miss You,android,2019-10-01 00:00:00,1,1,1,160501,2.6750166666666666
"""Let's Rock""",The Black Keys,Sit Around And Miss You,android,2019-10-05 00:00:00,1,1,1,160501,2.6750166666666666
"""Let's Rock""",The Black Keys,Sit Around And Miss You,android,2019-10-11 00:00:00,1,1,1,160501,2.6750166666666666
"""Let's Rock""",The Black Keys,Sit Around And Miss You,android,2019-10-31 00:00:00,1,1,1,161204,1.3433666666666666
"""Let's Rock""",The Black Keys,Sit Around And Miss You,android,2019-12-06 00:00:00,1,1,1,160501,2.6750166666666666
"""Let's Rock""",The Black Keys,Sit Around And Miss You,android,2019-12-08 00:00:00,1,1,1,160501,2.6750166666666666
"""Let's Rock""",The Black Keys,Sit Around And Miss You,android,2019-12-10 00:00:00,1,1,1,160501,2.6750166666666666
"""Let's Rock""",The Black Keys,Sit Around And Miss You,android,2019-12-13 00:00:00,1,1,1,160501,2.6750166666666666
"""Let's Rock""",The Black Keys,Sit Around And Miss You,android,2019-12-22 00:00:00,1,1,1,160501,2.6750166666666666
"""Let's Rock""",The Black Keys,Sit Around And Miss You,android,2019-12-24 00:00:00,1,1,1,114219,1.90365
"""Let's Rock""",The Black Keys,Sit Around And Miss You,android,2020-01-08 00:00:00,1,1,1,160501,2.6750166666666666
"""Let's Rock""",The Black Keys,Sit Around And Miss You,android,2020-01-29 00:00:00,1,1,1,160501,2.6750166666666666
"""Let's Rock""",The Black Keys,Sit Around And Miss You,android,2020-04-13 00:00:00,1,1,1,160501,2.6750166666666666
"""Let's Rock""",The Black Keys,Sit Around And Miss You,android,2020-07-29 00:00:00,1,1,1,160501,2.6750166666666666
"""Let's Rock""",The Black Keys,Sit Around And Miss You,android,2020-09-19 00:00:00,1,1,1,160501,2.6750166666666666
"""Let's Rock""",The Black Keys,Sit Around And Miss You,android,2020-09-28 00:00:00,1,1,1,160524,1.3377
"""Let's Rock""",The Black Keys,Sit Around And Miss You,android,2020-09-29 00:00:00,1,1,1,160501,2.6750166666666666
"""Let's Rock""",The Black Keys,Sit Around And Miss You,android,2020-10-09 00:00:00,1,1,1,160501,2.6750166666666666
"""Let's Rock""",The Black Keys,Sit Around And Miss You,android,2020-10-26 00:00:00,1,1,1,160501,2.6750166666666666
"""Let's Rock""",The Black Keys,Sit Around And Miss You,android,2020-11-07 00:00:00,1,1,1,160501,2.6750166666666666
"""Let's Rock""",The Black Keys,Sit Around And Miss You,android,2020-11-12 00:00:00,1,1,1,160501,2.6750166666666666
"""Let's Rock""",The Black Keys,Sit Around And Miss You,android,2020-11-20 00:00:00,1,1,1,160501,2.6750166666666666
"""Let's Rock""",The Black Keys,Sit Around And Miss You,android,2020-11-21 00:00:00,1,1,1,160501,2.6750166666666666
"""Let's Rock""",The Black Keys,Sit Around And Miss You,android,2020-12-09 00:00:00,1,1,1,160501,2.6750166666666666
"""Let's Rock""",The Black Keys,Sit Around And Miss You,android,2020-12-10 00:00:00,1,1,1,160501,2.6750166666666666
"""Let's Rock""",The Black Keys,Sit Around And Miss You,android,2020-12-13 00:00:00,1,1,1,321002,2.6750166666666666
"""Let's Rock""",The Black Keys,Sit Around And Miss You,android,2020-12-19 00:00:00,1,1,1,160501,2.6750166666666666
"""Let's Rock""",The Black Keys,Sit Around And Miss You,android,2021-01-04 00:00:00,1,1,1,321002,2.6750166666666666
"""Let's Rock""",The Black Keys,Sit Around And Miss You,android,2021-01-17 00:00:00,1,1,1,160501,2.6750166666666666
"""Let's Rock""",The Black Keys,Sit Around And Miss You,android,2021-03-18 00:00:00,1,1,1,160501,2.6750166666666666
"""Let's Rock""",The Black Keys,Sit Around And Miss You,android,2021-04-04 00:00:00,1,1,1,1156,0.019266666666666668
"""Let's Rock""",The Black Keys,Sit Around And Miss You,android,2021-04-17 00:00:00,1,1,1,160501,2.6750166666666666
"""Let's Rock""",The Black Keys,Sit Around And Miss You,android,2021-04-20 00:00:00,1,1,1,160501,2.6750166666666666
"""Let's Rock""",The Black Keys,Sit Around And Miss You,android,2021-04-21 00:00:00,1,1,1,160501,2.6750166666666666
"""Let's Rock""",The Black Keys,Sit Around And Miss You,android,2021-05-07 00:00:00,1,1,1,160501,2.6750166666666666
"""Let's Rock""",The Black Keys,Sit Around And Miss You,android,2021-09-14 00:00:00,1,1,1,160501,2.6750166666666666
"""Let's Rock""",The Black Keys,Sit Around And Miss You,android,2021-11-27 00:00:00,1,1,1,160501,2.6750166666666666
"""Let's Rock""",The Black Keys,Sit Around And Miss You,android,2022-02-22 00:00:00,1,1,1,160501,2.6750166666666666
"""Let's Rock""",The Black Keys,Sit Around And Miss You,android,2022-03-07 00:00:00,1,1,1,160501,2.6750166666666666
"""Let's Rock""",The Black Keys,Sit Around And Miss You,android,2022-07-03 00:00:00,1,1,1,268655,2.2387916666666667
"""Let's Rock""",The Black Keys,Sit Around And Miss You,android,2022-07-10 00:00:00,1,1,1,160501,2.6750166666666666
"""Let's Rock""",The Black Keys,Sit Around And Miss You,android,2022-12-28 00:00:00,1,1,1,160501,2.6750166666666666
"""Let's Rock""",The Black Keys,Sit Around And Miss You,android,2022-12-29 00:00:00,1,1,1,160501,2.6750166666666666
"""Let's Rock""",The Black Keys,Sit Around And Miss You,android,2023-03-06 00:00:00,1,1,1,160501,1.3375083333333333
"""Let's Rock""",The Black Keys,Sit Around And Miss You,android,2023-04-30 00:00:00,1,1,1,160501,2.6750166666666666
"""Let's Rock""",The Black Keys,Sit Around And Miss You,android,2023-05-01 00:00:00,1,1,1,1449,0.012075
"""Let's Rock""",The Black Keys,Sit Around And Miss You,android,2023-06-04 00:00:00,1,1,1,160501,2.6750166666666666
"""Let's Rock""",The Black Keys,Sit Around And Miss You,android,2023-06-09 00:00:00,1,1,1,160501,2.6750166666666666
"""Let's Rock""",The Black Keys,Sit Around And Miss You,android,2023-11-23 00:00:00,1,1,1,160501,2.6750166666666666
"""Let's Rock""",The Black Keys,Sit Around And Miss You,android,2023-12-13 00:00:00,1,1,1,160501,2.6750166666666666
"""Let's Rock""",The Black Keys,Sit Around And Miss You,android,2024-01-24 00:00:00,1,1,1,160501,2.6750166666666666
"""Let's Rock""",The Black Keys,Sit Around And Miss You,android,2024-03-04 00:00:00,1,1,1,160501,2.6750166666666666
"""Let's Rock""",The Black Keys,Sit Around And Miss You,android,2024-11-08 00:00:00,1,1,1,160501,2.6750166666666666
"""Let's Rock""",The Black Keys,Sit Around And Miss You,cast to device,2020-03-17 00:00:00,1,1,1,320018,2.6668166666666666
"""Let's Rock""",The Black Keys,Sit Around And Miss You,cast to device,2020-04-03 00:00:00,1,1,1,320018,2.6668166666666666
"""Let's Rock""",The Black Keys,Sit Around And Miss You,cast to device,2020-04-28 00:00:00,1,1,1,160000,2.6666666666666665
"""Let's Rock""",The Black Keys,Tell Me Lies,android,2019-06-28 00:00:00,1,1,1,219891,1.832425
"""Let's Rock""",The Black Keys,Tell Me Lies,android,2019-08-14 00:00:00,1,1,1,219890,3.664833333333333
"""Let's Rock""",The Black Keys,Tell Me Lies,android,2021-01-13 00:00:00,1,1,1,215999,3.5999833333333333
"""Let's Rock""",The Black Keys,Under The Gun,android,2019-06-28 00:00:00,1,1,1,196325,3.2720833333333332
"""Let's Rock""",The Black Keys,Under The Gun,android,2019-08-14 00:00:00,1,1,1,196325,3.2720833333333332
"""Let's Rock""",The Black Keys,Walk Across The Water,android,2019-06-28 00:00:00,1,1,1,235823,3.9303833333333333
"""Let's Rock""",The Black Keys,Walk Across The Water,android,2019-08-14 00:00:00,1,1,1,1895362,3.158936666666667
"""Let's Rock""",The Black Keys,Walk Across The Water,android,2019-08-16 00:00:00,1,1,1,235841,3.9306833333333335
"""Let's Rock""",The Black Keys,Walk Across The Water,android,2019-08-17 00:00:00,1,1,1,235841,3.9306833333333335
"""Let's Rock""",The Black Keys,Walk Across The Water,android,2019-08-19 00:00:00,1,1,1,235841,3.9306833333333335
"""Let's Rock""",The Black Keys,Walk Across The Water,android,2019-08-20 00:00:00,1,1,1,235841,3.9306833333333335
"""Let's Rock""",The Black Keys,Walk Across The Water,android,2019-08-25 00:00:00,1,1,1,235841,3.9306833333333335
"""Let's Rock""",The Black Keys,Walk Across The Water,android,2019-08-27 00:00:00,1,1,1,235841,3.9306833333333335
"""Let's Rock""",The Black Keys,Walk Across The Water,android,2019-08-28 00:00:00,1,1,1,237165,1.3175833333333333
"""Let's Rock""",The Black Keys,Walk Across The Water,android,2019-09-21 00:00:00,1,1,1,235841,3.9306833333333335
"""Let's Rock""",The Black Keys,Walk Across The Water,android,2019-10-01 00:00:00,1,1,1,235841,3.9306833333333335
"""Let's Rock""",The Black Keys,Walk Across The Water,android,2019-10-05 00:00:00,1,1,1,235841,3.9306833333333335
"""Let's Rock""",The Black Keys,Walk Across The Water,android,2019-10-22 00:00:00,1,1,1,235841,3.9306833333333335
"""Let's Rock""",The Black Keys,Walk Across The Water,android,2019-12-08 00:00:00,1,1,1,471682,3.9306833333333335
"""Let's Rock""",The Black Keys,Walk Across The Water,android,2019-12-10 00:00:00,1,1,1,235841,3.9306833333333335
"""Let's Rock""",The Black Keys,Walk Across The Water,android,2019-12-13 00:00:00,1,1,1,235841,3.9306833333333335
"""Let's Rock""",The Black Keys,Walk Across The Water,android,2019-12-22 00:00:00,1,1,1,471682,3.9306833333333335
"""Let's Rock""",The Black Keys,Walk Across The Water,android,2019-12-23 00:00:00,1,1,1,235841,3.9306833333333335
"""Let's Rock""",The Black Keys,Walk Across The Water,android,2019-12-24 00:00:00,1,1,1,2636,0.04393333333333333
"""Let's Rock""",The Black Keys,Walk Across The Water,android,2020-01-07 00:00:00,1,1,1,235841,3.9306833333333335
"""Let's Rock""",The Black Keys,Walk Across The Water,android,2020-01-31 00:00:00,1,1,1,235843,1.9653583333333333
"""Let's Rock""",The Black Keys,Walk Across The Water,android,2020-04-13 00:00:00,1,1,1,235841,3.9306833333333335
"""Let's Rock""",The Black Keys,Walk Across The Water,android,2020-05-11 00:00:00,1,1,1,235841,3.9306833333333335
"""Let's Rock""",The Black Keys,Walk Across The Water,android,2020-09-19 00:00:00,1,1,1,235841,3.9306833333333335
"""Let's Rock""",The Black Keys,Walk Across The Water,android,2020-10-01 00:00:00,1,1,1,235842,1.96535
"""Let's Rock""",The Black Keys,Walk Across The Water,android,2020-10-09 00:00:00,1,1,1,235841,3.9306833333333335
"""Let's Rock""",The Black Keys,Walk Across The Water,android,2020-11-21 00:00:00,1,1,1,235841,3.9306833333333335
"""Let's Rock""",The Black Keys,Walk Across The Water,android,2020-12-10 00:00:00,1,1,1,471682,3.9306833333333335
"""Let's Rock""",The Black Keys,Walk Across The Water,android,2020-12-12 00:00:00,1,1,1,235841,3.9306833333333335
"""Let's Rock""",The Black Keys,Walk Across The Water,android,2020-12-13 00:00:00,1,1,1,471682,3.9306833333333335
"""Let's Rock""",The Black Keys,Walk Across The Water,android,2020-12-19 00:00:00,1,1,1,235841,3.9306833333333335
"""Let's Rock""",The Black Keys,Walk Across The Water,android,2021-01-04 00:00:00,1,1,1,235841,3.9306833333333335
"""Let's Rock""",The Black Keys,Walk Across The Water,android,2021-01-13 00:00:00,1,1,1,235841,3.9306833333333335
"""Let's Rock""",The Black Keys,Walk Across The Water,android,2021-03-30 00:00:00,1,1,1,44322,0.36935
"""Let's Rock""",The Black Keys,Walk Across The Water,android,2021-04-05 00:00:00,1,1,1,933,0.01555
"""Let's Rock""",The Black Keys,Walk Across The Water,android,2021-08-30 00:00:00,1,1,1,71308,1.1884666666666666
"""Let's Rock""",The Black Keys,Walk Across The Water,android,2022-01-24 00:00:00,1,1,1,235841,3.9306833333333335
"""Let's Rock""",The Black Keys,Walk Across The Water,android,2022-02-22 00:00:00,1,1,1,235841,3.9306833333333335
"""Let's Rock""",The Black Keys,Walk Across The Water,android,2022-05-02 00:00:00,1,1,1,1352,0.022533333333333332
"""Let's Rock""",The Black Keys,Walk Across The Water,android,2022-05-09 00:00:00,1,1,1,235841,3.9306833333333335
"""Let's Rock""",The Black Keys,Walk Across The Water,android,2022-07-03 00:00:00,1,1,1,14564,0.24273333333333333
"""Let's Rock""",The Black Keys,Walk Across The Water,android,2022-07-10 00:00:00,1,1,1,134510,2.241833333333333
"""Let's Rock""",The Black Keys,Walk Across The Water,android,2022-08-14 00:00:00,1,1,1,15624,0.1302
"""Let's Rock""",The Black Keys,Walk Across The Water,android,2022-12-28 00:00:00,1,1,1,235841,3.9306833333333335
"""Let's Rock""",The Black Keys,Walk Across The Water,android,2023-03-13 00:00:00,1,1,1,235841,3.9306833333333335
"""Let's Rock""",The Black Keys,Walk Across The Water,android,2023-04-30 00:00:00,1,1,1,235841,3.9306833333333335
"""Let's Rock""",The Black Keys,Walk Across The Water,android,2023-05-01 00:00:00,1,1,1,1839,0.015325
"""Let's Rock""",The Black Keys,Walk Across The Water,android,2023-11-09 00:00:00,1,1,1,235841,3.9306833333333335
"""Let's Rock""",The Black Keys,Walk Across The Water,android,2023-11-10 00:00:00,1,1,1,235841,3.9306833333333335
"""Let's Rock""",The Black Keys,Walk Across The Water,android,2023-12-13 00:00:00,1,1,1,235841,3.9306833333333335
"""Let's Rock""",The Black Keys,Walk Across The Water,android,2024-01-05 00:00:00,1,1,1,235841,3.9306833333333335
"""Let's Rock""",The Black Keys,Walk Across The Water,android,2024-01-24 00:00:00,1,1,1,471682,3.9306833333333335
"""Let's Rock""",The Black Keys,Walk Across The Water,android,2024-02-20 00:00:00,1,1,1,235841,3.9306833333333335
"""Let's Rock""",The Black Keys,Walk Across The Water,android,2024-05-10 00:00:00,1,1,1,235841,3.9306833333333335
"""Let's Rock""",The Black Keys,Walk Across The Water,cast to device,2020-03-17 00:00:00,1,1,1,235827,3.93045
"""Let's Rock""",The Black Keys,Walk Across The Water,cast to device,2020-04-28 00:00:00,1,1,1,235842,3.9307
"""Let's Rock""",The Black Keys,Walk Across The Water,cast to device,2020-05-15 00:00:00,1,1,1,471684,3.9307
"""Let's Rock""",The Black Keys,Walk Across The Water,mac,2024-06-18 00:00:00,1,1,1,235841,3.9306833333333335
"""The Opera Gala - Live from Baden-Baden""",Léo Delibes,"Lakmé / Act I: Viens, Mallika, ... Dôme épais (Flower Duet)",android,2021-05-21 00:00:00,1,1,1,403332,6.7222
"""The Opera Gala - Live from Baden-Baden""",Léo Delibes,"Lakmé / Act I: Viens, Mallika, ... Dôme épais (Flower Duet)",android,2021-05-27 00:00:00,1,1,1,403333,6.722216666666666
"""The Opera Gala - Live from Baden-Baden""",Léo Delibes,"Lakmé / Act I: Viens, Mallika, ... Dôme épais (Flower Duet)",android,2021-05-31 00:00:00,1,1,1,398616,3.3218
"""The Opera Gala - Live from Baden-Baden""",Léo Delibes,"Lakmé / Act I: Viens, Mallika, ... Dôme épais (Flower Duet)",android,2021-06-03 00:00:00,1,1,1,20352,0.3392
"""The Opera Gala - Live from Baden-Baden""",Léo Delibes,"Lakmé / Act I: Viens, Mallika, ... Dôme épais (Flower Duet)",android,2021-06-16 00:00:00,1,1,1,164607,2.74345
